Error, Delta Error
-206, 22
-267, 61
-327, 60
-348, 21
-251, -97
-150, -101
-166, 16
-227, 61
-279, 52
-327, 48
-211, -116
-129, -82
-81, -48
-55, -26
-76, 21
-133, 57
-193, 60
-238, 45
-150, -88
-102, -48
-71, -31
-51, -20
-39, -12
-33, -6
-26, -7
-27, 1
-23, -4
-24, 1
-24, 0
-24, 0
-23, -1
-23, 0
-25, 2
-24, -1
-23, -1
-23, 0
-22, -1
-24, 2
-23, -1
-21, -2
-25, 4
-18, -7
-23, 5
-17, -6
-22, 5
-16, -6
-19, 3
-21, 2
-14, -7
-15, 1
-17, 2
-19, 2
-17, -2
-15, -2
-10, -5
-10, 0
-12, 2
-13, 1
-13, 0
-12, -1
-11, -1
-11, 0
-10, -1
-17, 7
-14, -3
-13, -1
-10, -3
-7, -3
-6, -1
-10, 4
-9, -1
-10, 1
-6, -4
-3, -3
-9, 6
-9, 0
-5, -4
-7, 2
-8, 1
-5, -3
-1, -4
-9, 8
-6, -3
-1, -5
-9, 8
-4, -5
-6, 2
-7, 1
-1, -6
-7, 6
-3, -4
-6, 3
-5, -1
1, -6
-7, 8
-1, -6
-5, 4
-3, -2
-3, 0
-4, 1
-4, 0
-3, -1
-3, 0
-4, 1
-3, -1
-3, 0
4, -7
-5, 9
2, -7
-6, 8
-4, -2
-3, -1
-3, 0
-2, -1
-2, 0
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
0, -1
-1, 1
0, -1
-1, 1
0, -1
-1, 1
0, -1
-1, 1
0, -1
-1, 1
0, -1
-1, 1
0, -1
0, 0
-1, 1
0, -1
5, -5
-2, 7
3, -5
-3, 6
2, -5
0, 2
1, -1
0, 1
-1, 1
5, -6
0, 5
1, -1
0, 1
0, 0
5, -5
2, 3
0, 2
5, -5
1, 4
1, 0
4, -3
1, 3
2, -1
3, -1
5, -2
1, 4
4, -3
4, 0
3, 1
5, -2
6, -1
7, -1
7, 0
6, 1
6, 0
6, 0
5, 1
5, 0
4, 1
4, 0
6, -2
7, -1
12, -5
7, 5
8, -1
13, -5
8, 5
8, 0
11, -3
15, -4
10, 5
13, -3
15, -2
17, -2
11, 6
13, -2
14, -1
14, 0
21, -7
18, 3
18, 0
23, -5
18, 5
23, -5
21, 2
26, -5
28, -2
31, -3
36, -5
36, 0
41, -5
38, 3
43, -5
51, -8
50, 1
49, 1
56, -7
62, -6
65, -3
73, -8
75, -2
84, -9
89, -5
96, -7
103, -7
104, -1
102, 2
112, -10
159, -47
213, -54
243, -30
232, 11
212, 20
199, 13
189, 10
222, -33
261, -39
292, -31
316, -24
298, 18
276, 22
259, 17
292, -33
316, -24
344, -28
367, -23
350, 17
318, 32
301, 17
330, -29
354, -24
373, -19
391, -18
351, 40
313, 38
336, -23
362, -26
379, -17
398, -19
405, -7
364, 41
328, 36
347, -19
366, -19
388, -22
407, -19
414, -7
371, 43
328, 43
346, -18
366, -20
387, -21
406, -19
408, -2
361, 47
319, 42
331, -12
356, -25
377, -21
396, -19
408, -12
365, 43
323, 42
332, -9
355, -23
376, -21
394, -18
400, -6
352, 48
310, 42
322, -12
346, -24
373, -27
391, -18
381, 10
334, 47
293, 41
306, -13
331, -25
360, -29
379, -19
378, 1
331, 47
289, 42
294, -5
327, -33
349, -22
375, -26
365, 10
317, 48
262, 55
282, -20
314, -32
343, -29
369, -26
367, 2
325, 42
286, 39
288, -2
298, -10
330, -32
351, -21
364, -13
323, 41
284, 39
286, -2
305, -19
331, -26
359, -28
366, -7
325, 41
291, 34
283, 8
304, -21
326, -22
353, -27
367, -14
333, 34
301, 32
307, -6
330, -23
353, -23
370, -17
355, 15
318, 37
319, -1
341, -22
362, -21
376, -14
370, 6
332, 38
291, 41
315, -24
339, -24
362, -23
376, -14
394, -18
358, 36
315, 43
319, -4
339, -20
361, -22
381, -20
396, -15
350, 46
308, 42
330, -22
351, -21
370, -19
387, -17
379, 8
333, 46
290, 43
316, -26
341, -25
360, -19
380, -20
388, -8
344, 44
299, 45
309, -10
333, -24
355, -22
376, -21
375, 1
328, 47
223, 105
275, -52
331, -56
353, -22
370, -17
292, 78
186, 106
234, -48
307, -73
350, -43
363, -13
276, 87
180, 96
109, 71
157, -48
248, -91
319, -71
351, -32
238, 113
150, 88
95, 55
61, 34
68, -7
106, -38
154, -48
200, -46
131, 69
84, 47
53, 31
34, 19
29, 5
18, 11
12, 6
16, -4
10, 6
15, -5
10, 5
12, -2
15, -3
13, 2
10, 3
13, -3
15, -2
15, 0
13, 2
12, 1
13, -1
12, 1
12, 0
11, 1
12, -1
11, 1
10, 1
9, 1
8, 1
6, 2
12, -6
12, 0
10, 2
6, 4
4, 2
12, -8
9, 3
5, 4
8, -3
9, -1
4, 5
7, -3
8, -1
2, 6
7, -5
6, 1
0, 6
8, -8
3, 5
6, -3
5, 1
5, 0
5, 0
-2, 7
5, -7
1, 4
3, -2
3, 0
3, 0
3, 0
-2, 5
5, -7
-2, 7
5, -7
-1, 6
3, -4
0, 3
3, -3
0, 3
2, -2
1, 1
1, 0
1, 0
1, 0
1, 0
0, 1
0, 0
-6, 6
3, -9
-3, 6
3, -6
-3, 6
2, -5
-1, 3
1, -2
-1, 2
0, -1
0, 0
-6, 6
2, -8
-4, 6
1, -5
-2, 3
0, -2
0, 0
-5, 5
1, -6
-3, 4
-1, -2
0, -1
-6, 6
-1, -5
-1, 0
-6, 5
-1, -5
-1, 0
-6, 5
0, -6
-1, 1
-5, 4
-2, -3
-3, 1
-3, 0
-6, 3
-2, -4
-3, 1
-4, 1
-4, 0
-7, 3
-1, -6
-4, 3
-5, 1
-4, -1
-5, 1
-5, 0
-5, 0
-6, 1
-6, 0
-6, 0
-5, -1
-6, 1
-6, 0
-7, 1
-6, -1
-7, 1
-11, 4
-7, -4
-7, 0
-6, -1
-12, 6
-6, -6
-7, 1
-11, 4
-7, -4
-8, 1
-10, 2
-15, 5
-8, -7
-11, 3
-15, 4
-10, -5
-12, 2
-13, 1
-14, 1
-15, 1
-15, 0
-15, 0
-15, 0
-17, 2
-21, 4
-17, -4
-22, 5
-18, -4
-22, 4
-23, 1
-20, -3
-23, 3
-23, 0
-25, 2
-29, 4
-29, 0
-28, -1
-34, 6
-36, 2
-37, 1
-38, 1
-40, 2
-39, -1
-43, 4
-41, -2
-47, 6
-49, 2
-51, 2
-56, 5
-56, 0
-59, 3
-61, 2
-66, 5
-67, 1
-76, 9
-72, -4
-80, 8
-85, 5
-88, 3
-92, 4
-98, 6
-92, -6
-99, 7
-97, -2
-93, -4
-132, 39
-214, 82
-248, 34
-235, -13
-216, -19
-171, -45
-135, -36
-224, 89
-257, 33
-289, 32
-313, 24
-290, -23
-263, -27
-235, -28
-269, 34
-302, 33
-324, 22
-348, 24
-310, -38
-272, -38
-298, 26
-325, 27
-348, 23
-368, 20
-325, -43
-288, -37
-306, 18
-331, 25
-354, 23
-372, 18
-325, -47
-272, -53
-303, 31
-327, 24
-352, 25
-371, 19
-319, -52
-244, -75
-295, 51
-321, 26
-349, 28
-362, 13
-312, -50
-216, -96
-260, 44
-317, 57
-343, 26
-356, 13
-301, -55
-205, -96
-222, 17
-272, 50
-321, 49
-347, 26
-325, -22
-232, -93
-161, -71
-203, 42
-291, 88
-332, 41
-346, 14
-285, -61
-194, -91
-187, -7
-227, 40
-307, 80
-333, 26
-333, 0
-265, -68
-175, -90
-131, -44
-155, 24
-268, 113
-313, 45
-338, 25
-298, -40
-227, -71
-184, -43
-205, 21
-272, 67
-300, 28
-331, 31
-300, -31
-265, -35
-229, -36
-250, 21
-283, 33
-316, 33
-337, 21
-305, -32
-271, -34
-243, -28
-266, 23
-298, 32
-329, 31
-353, 24
-367, 14
-337, -30
-308, -29
-277, -31
-300, 23
-332, 32
-356, 24
-379, 23
-395, 16
-363, -32
-339, -24
-348, 9
-365, 17
-388, 23
-408, 20
-423, 15
-379, -44
-345, -34
-363, 18
-383, 20
-404, 21
-420, 16
-433, 13
-389, -44
-354, -35
-371, 17
-392, 21
-407, 15
-417, 10
-432, 15
-385, -47
-347, -38
-369, 22
-389, 20
-402, 13
-417, 15
-429, 12
-381, -48
-336, -45
-357, 21
-381, 24
-396, 15
-414, 18
-424, 10
-376, -48
-325, -51
-345, 20
-369, 24
-386, 17
-403, 17
-414, 11
-364, -50
-314, -50
-331, 17
-355, 24
-376, 21
-391, 15
-401, 10
-352, -49
-272, -80
-310, 38
-350, 40
-367, 17
-382, 15
-326, -56
-211, -115
-252, 41
-319, 67
-360, 41
-375, 15
-276, -99
-180, -96
-151, -29
-191, 40
-269, 78
-334, 65
-327, -7
-225, -102
-144, -81
-82, -62
-48, -34
-52, 4
-79, 27
-114, 35
-143, 29
-110, -33
-68, -42
-41, -27
-23, -18
-20, -3
-13, -7
-9, -4
-5, -4
-9, 4
-10, 1
-7, -3
-3, -4
-13, 10
-7, -6
-9, 2
-10, 1
-3, -7
-12, 9
-4, -8
-12, 8
-4, -8
-11, 7
-3, -8
-10, 7
-8, -2
-7, -1
-5, -2
-4, -1
-9, 5
-1, -8
-8, 7
-5, -3
-4, -1
-8, 4
-5, -3
-3, -2
-8, 5
-4, -4
-2, -2
-7, 5
-4, -3
-1, -3
-5, 4
-8, 3
-4, -4
-1, -3
-6, 5
-3, -3
1, -4
-4, 5
-6, 2
-5, -1
-4, -1
0, -4
-4, 4
-7, 3
-1, -6
2, -3
-3, 5
-6, 3
-6, 0
-2, -4
2, -4
-2, 4
-5, 3
-6, 1
-1, -5
-3, 2
2, -5
-2, 4
-5, 3
-5, 0
-2, -3
-2, 0
2, -4
-1, 3
-3, 2
-5, 2
-5, 0
0, -5
-2, 2
3, -5
-1, 4
-3, 2
-4, 1
-5, 1
-5, 0
-4, -1
1, -5
-1, 2
3, -4
0, 3
-2, 2
-4, 2
-4, 0
-4, 0
-4, 0
-4, 0
2, -6
0, 2
-2, 2
3, -5
0, 3
-2, 2
-3, 1
-3, 0
-3, 0
-4, 1
-3, -1
-3, 0
-3, 0
3, -6
0, 3
-1, 1
4, -5
1, 3
-2, 3
-2, 0
-3, 1
-3, 0
-3, 0
-3, 0
-3, 0
-3, 0
-3, 0
-3, 0
-3, 0
-2, -1
-2, 0
-2, 0
4, -6
2, 2
0, 2
-1, 1
-2, 1
-2, 0
4, -6
1, 3
0, 1
-2, 2
-2, 0
-3, 1
-2, -1
-3, 1
-2, -1
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-1, -1
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
0, -1
1, -1
3, -2
3, 0
1, 2
-1, 2
-1, 0
-2, 1
-2, 0
-2, 0
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
