Error, Delta Error
75, 8
75, 0
78, -3
79, -1
72, 7
78, -6
79, -1
74, 5
80, -6
76, 4
82, -6
73, 9
74, -1
80, -6
75, 5
74, 1
83, -9
76, 7
82, -6
80, 2
81, -1
83, -2
86, -3
81, 5
85, -4
87, -2
90, -3
86, 4
85, 1
93, -8
95, -2
94, 1
91, 3
95, -4
95, 0
95, 0
94, 1
92, 2
93, -1
103, -10
96, 7
97, -1
97, 0
99, -2
98, 1
95, 3
98, -3
88, 10
99, -11
93, 6
89, 4
90, -1
93, -3
92, 1
88, 4
83, 5
84, -1
80, 4
83, -3
80, 3
77, 3
72, 5
74, -2
76, -2
71, 5
66, 5
71, -5
64, 7
66, -2
63, 3
61, 2
58, 3
57, 1
55, 2
56, -1
54, 2
55, -1
52, 3
47, 5
47, 0
50, -3
45, 5
45, 0
43, 2
41, 2
40, 1
41, -1
36, 5
39, -3
36, 3
34, 2
36, -2
35, 1
33, 2
28, 5
28, 0
30, -2
30, 0
30, 0
29, 1
27, 2
26, 1
26, 0
25, 1
23, 2
22, 1
22, 0
21, 1
20, 1
21, -1
23, -2
20, 3
19, 1
18, 1
19, -1
21, -2
19, 2
17, 2
17, 0
19, -2
16, 3
14, 2
19, -5
14, 5
13, 1
17, -4
12, 5
17, -5
12, 5
9, 3
15, -6
9, 6
15, -6
9, 6
13, -4
9, 4
11, -2
8, 3
10, -2
8, 2
10, -2
7, 3
9, -2
6, 3
9, -3
5, 4
9, -4
4, 5
10, -6
2, 8
9, -7
1, 8
8, -7
8, 0
4, 4
8, -4
1, 7
8, -7
6, 2
4, 2
6, -2
0, 6
7, -7
4, 3
2, 2
7, -5
-2, 9
5, -7
5, 0
0, 5
6, -6
3, 3
1, 2
6, -5
3, 3
1, 2
6, -5
2, 4
0, 2
3, -3
3, 0
0, 3
3, -3
2, 1
0, 2
1, -1
-4, 5
3, -7
4, -1
1, 3
1, 0
3, -2
2, 1
-1, 3
3, -4
1, 2
-1, 2
3, -4
0, 3
-2, 2
3, -5
0, 3
-2, 2
3, -5
-1, 4
-2, 1
2, -4
1, 1
-3, 4
2, -5
2, 0
-4, 6
2, -6
2, 0
-5, 7
1, -6
3, -2
1, 2
-2, 3
3, -5
0, 3
-3, 3
2, -5
-1, 3
-3, 2
2, -5
-1, 3
-3, 2
2, -5
0, 2
-4, 4
2, -6
0, 2
-4, 4
1, -5
0, 1
-4, 4
1, -5
1, 0
-4, 5
1, -5
0, 1
-4, 4
1, -5
0, 1
-4, 4
2, -6
-1, 3
-4, 3
2, -6
-1, 3
-3, 2
0, -3
0, 0
-3, 3
-2, -1
-5, 3
1, -6
-2, 3
-3, 1
1, -4
0, 1
-3, 3
-2, -1
-5, 3
0, -5
0, 0
-3, 3
-2, -1
-5, 3
0, -5
-6, 6
1, -7
-1, 2
-3, 2
-2, -1
-4, 2
-1, -3
-5, 4
0, -5
0, 0
-2, 2
-2, 0
-3, 1
-3, 0
-4, 1
-3, -1
-3, 0
-3, 0
-3, 0
-2, -1
-4, 2
-3, -1
-3, 0
-2, -1
-3, 1
-2, -1
-4, 2
-8, 4
-2, -6
-5, 3
-1, -4
-3, 2
-2, -1
-3, 1
-7, 4
-3, -4
-3, 0
-2, -1
-5, 3
-6, 1
-3, -3
-5, 2
-6, 1
-3, -3
-4, 1
-5, 1
-3, -2
-4, 1
-5, 1
-8, 3
-4, -4
-5, 1
-5, 0
-7, 2
-8, 1
-2, -6
-5, 3
-6, 1
-6, 0
-8, 2
-9, 1
-2, -7
-5, 3
-5, 0
-7, 2
-6, -1
-7, 1
-7, 0
-8, 1
-7, -1
-8, 1
-8, 0
-8, 0
-8, 0
-8, 0
-8, 0
-12, 4
-9, -3
-9, 0
-8, -1
-13, 5
-9, -4
-9, 0
-9, 0
-12, 3
-11, -1
-15, 4
-10, -5
-8, -2
-13, 5
-14, 1
-12, -2
-15, 3
-12, -3
-14, 2
-11, -3
-14, 3
-15, 1
-17, 2
-11, -6
-15, 4
-16, 1
-16, 0
-17, 1
-18, 1
-20, 2
-19, -1
-20, 1
-24, 4
-22, -2
-20, -2
-24, 4
-21, -3
-21, 0
-25, 4
-23, -2
-26, 3
-27, 1
-24, -3
-26, 2
-30, 4
-28, -2
-30, 2
-31, 1
-30, -1
-31, 1
-33, 2
-33, 0
-34, 1
-36, 2
-41, 5
-37, -4
-39, 2
-41, 2
-42, 1
-41, -1
-46, 5
-44, -2
-44, 0
-49, 5
-49, 0
-54, 5
-54, 0
-54, 0
-55, 1
-55, 0
-58, 3
-60, 2
-61, 1
-65, 4
-64, -1
-65, 1
-63, -2
-69, 6
-68, -1
-70, 2
-67, -3
-69, 2
-70, 1
-71, 1
-73, 2
-77, 4
-70, -7
-73, 3
-73, 0
-75, 2
-74, -1
-72, -2
-69, -3
-70, 1
-70, 0
-73, 3
-74, 1
-70, -4
-68, -2
-70, 2
-69, -1
-64, -5
-67, 3
-63, -4
-66, 3
-65, -1
-63, -2
-69, 6
-63, -6
-62, -1
-62, 0
-60, -2
-62, 2
-60, -2
-61, 1
-62, 1
-62, 0
-60, -2
-62, 2
-58, -4
-59, 1
-57, -2
-59, 2
-59, 0
-59, 0
-59, 0
-59, 0
-58, -1
-61, 3
-56, -5
-57, 1
-63, 6
-59, -4
-61, 2
-60, -1
-59, -1
-63, 4
-69, 6
-66, -3
-62, -4
-66, 4
-64, -2
-69, 5
-70, 1
-70, 0
-71, 1
-79, 8
-74, -5
-77, 3
-81, 4
-83, 2
-82, -1
-91, 9
-97, 6
-97, 0
-95, -2
-95, 0
-99, 4
-108, 9
-103, -5
-97, -6
-97, 0
-97, 0
-95, -2
-98, 3
-102, 4
-106, 4
-106, 0
-109, 3
-115, 6
-116, 1
-118, 2
-126, 8
-127, 1
-129, 2
-130, 1
-131, 1
-128, -3
-130, 2
-122, -8
-106, -16
-95, -11
-99, 4
-93, -6
-94, 1
-91, -3
-83, -8
-87, 4
-84, -3
-79, -5
-75, -4
-75, 0
-72, -3
-70, -2
-69, -1
-70, 1
-60, -10
-60, 0
-63, 3
-61, -2
-57, -4
-56, -1
-55, -1
-50, -5
-49, -1
-49, 0
-45, -4
-46, 1
-40, -6
-41, 1
-41, 0
-43, 2
-37, -6
-36, -1
-36, 0
-36, 0
-31, -5
-34, 3
-31, -3
-30, -1
-31, 1
-29, -2
-28, -1
-26, -2
-26, 0
-26, 0
-22, -4
-26, 4
-20, -6
-24, 4
-21, -3
-22, 1
-24, 2
-20, -4
-24, 4
-17, -7
-21, 4
-15, -6
-19, 4
-22, 3
-13, -9
-18, 5
-18, 0
-12, -6
-17, 5
-15, -2
-11, -4
-15, 4
-14, -1
-9, -5
-14, 5
-15, 1
-7, -8
-12, 5
-14, 2
-10, -4
-7, -3
-11, 4
-11, 0
-3, -8
-9, 6
-12, 3
-8, -4
-4, -4
-8, 4
-11, 3
-8, -3
-2, -6
-6, 4
-9, 3
-9, 0
-6, -3
-3, -3
-6, 3
-9, 3
-4, -5
0, -4
-5, 5
-8, 3
-9, 1
-4, -5
0, -4
-4, 4
-7, 3
-8, 1
-5, -3
-4, -1
0, -4
-3, 3
-6, 3
-7, 1
-4, -3
-3, -1
1, -4
-3, 4
-5, 2
-6, 1
-3, -3
-3, 0
1, -4
-2, 3
-4, 2
-6, 2
-6, 0
-3, -3
-2, -1
2, -4
-2, 4
-4, 2
-5, 1
-5, 0
-3, -2
-1, -2
-3, 2
2, -5
-2, 4
-3, 1
-5, 2
-5, 0
-3, -2
0, -3
-3, 3
3, -6
-1, 4
-3, 2
-4, 1
-5, 1
-5, 0
-3, -2
1, -4
-2, 3
3, -5
-1, 4
-2, 1
-4, 2
-4, 0
-4, 0
-5, 1
-4, -1
1, -5
-1, 2
-2, 1
3, -5
0, 3
-2, 2
-3, 1
-4, 1
-4, 0
-4, 0
-4, 0
-1, -3
1, -2
-1, 2
-2, 1
3, -5
0, 3
-2, 2
-3, 1
-3, 0
-4, 1
-4, 0
-3, -1
-4, 1
-3, -1
-1, -2
2, -3
0, 2
-2, 2
4, -6
0, 4
-1, 1
-2, 1
-3, 1
-4, 1
-3, -1
-3, 0
-4, 1
-3, -1
-3, 0
-3, 0
-3, 0
-1, -2
3, -4
0, 3
-1, 1
-2, 1
4, -6
0, 4
-1, 1
-2, 1
-2, 0
-3, 1
-3, 0
-3, 0
-3, 0
-3, 0
-2, -1
-3, 1
-2, -1
-3, 1
-2, -1
-3, 1
-2, -1
2, -4
2, 0
0, 2
-1, 1
-2, 1
-2, 0
4, -6
1, 3
-1, 2
-1, 0
-2, 1
-3, 1
-2, -1
-3, 1
-2, -1
-3, 1
-2, -1
-2, 0
-2, 0
-3, 1
-2, -1
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-1, -1
4, -5
2, 2
0, 2
-1, 1
-1, 0
-2, 1
-2, 0
-2, 0
-2, 0
-2, 0
4, -6
2, 2
0, 2
-1, 1
-2, 1
-2, 0
-2, 0
-2, 0
-2, 0
-3, 1
-2, -1
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-2, 0
-1, -1
-2, 1
-1, -1
-2, 1
-1, -1
-2, 1
-1, -1
-2, 1
-1, -1
-2, 1
-1, -1
-1, 0
-2, 1
-1, -1
-2, 1
-1, -1
-1, 0
-2, 1
-1, -1
-2, 1
-1, -1
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
-1, 0
-1, 0
-2, 1
-1, -1
-1, 0
-1, 0
-1, 0
0, -1
4, -4
1, 3
0, 1
0, 0
-1, 1
-1, 0
-2, 1
-1, -1
-2, 1
-2, 0
-2, 0
-1, -1
-2, 1
-1, -1
-2, 1
-1, -1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
-2, 1
0, -2
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
